iter	RMSE
0	0.1587914848
1	0.1567539714
2	0.1550493415
3	0.1534657781
4	0.1520937075
5	0.1506988293
6	0.1494611976
7	0.1484302914
8	0.1475394006
9	0.1466548468
10	0.1459283597
11	0.1452016729
12	0.144625991
13	0.1441371496
14	0.1435841037
15	0.1432336378
16	0.1427723171
17	0.1424655513
18	0.1420999546
19	0.1416801884
20	0.1414564222
21	0.1410987707
22	0.1407170373
23	0.140455758
24	0.1401973493
25	0.1399730124
26	0.1397027921
27	0.139570174
28	0.1393533429
29	0.1391735634
30	0.1388888713
31	0.1387180053
32	0.13864906
33	0.1384166391
34	0.1382093202
35	0.1381024186
36	0.1378715209
37	0.1377224888
38	0.1374755912
39	0.137332432
40	0.1371206886
41	0.1370443201
42	0.1369984129
43	0.1368227222
44	0.1367098967
45	0.1366213166
46	0.1365434829
47	0.1364570068
48	0.1363002164
49	0.1362054279
50	0.136154242
51	0.136059021
52	0.1358879942
53	0.1357447116
54	0.1356646173
55	0.1355371566
56	0.1354578617
57	0.1352551227
58	0.1352112431
59	0.1351680903
60	0.1350890338
61	0.1350369288
62	0.1349044837
63	0.1348220323
64	0.1347275228
65	0.1345666015
66	0.1344815732
67	0.1344227517
68	0.1343599571
69	0.1342837849
70	0.1341742032
71	0.1340208198
72	0.1339366412
73	0.1337856082
74	0.1337097128
75	0.1336912088
76	0.1334380081
77	0.1333224596
78	0.1332617695
79	0.1332148061
80	0.1330177468
81	0.1329296977
82	0.1328258178
83	0.1327176513
84	0.1325946701
85	0.1325097145
86	0.1323421952
87	0.1323159166
88	0.1322500593
89	0.1321937467
90	0.1320606877
91	0.1320270824
92	0.1319663067
93	0.1318815815
94	0.1318304254
95	0.1318090628
96	0.1317360101
97	0.1316596337
98	0.1315408561
99	0.1314214541
100	0.1312757381
101	0.1311876982
102	0.1311194835
103	0.1310799144
104	0.1309989287
105	0.130945174
106	0.130845552
107	0.1307450456
108	0.1305884784
109	0.1304890245
110	0.1303843409
111	0.1302494748
112	0.130129319
113	0.1300782379
114	0.1299742032
115	0.1298450119
116	0.1296881242
117	0.1296737003
118	0.129592987
119	0.1295327408
120	0.1294351606
121	0.1293571406
122	0.1292772645
123	0.1291546244
124	0.129015227
125	0.1289684959
126	0.1288318662
127	0.1287797825
128	0.1286598311
129	0.1285787572
130	0.12851246
131	0.128424821
132	0.1284064885
133	0.1283190119
134	0.1282114277
135	0.1280350018
136	0.1278989386
137	0.1277786676
138	0.1276538041
139	0.1275297167
140	0.1274295098
141	0.1272883033
142	0.127233931
143	0.1271007096
144	0.1269457011
145	0.1267926741
146	0.1267096551
147	0.1266571669
148	0.1265818818
149	0.126554392
150	0.1264742037
151	0.126308083
152	0.1261315172
153	0.1260479358
154	0.1260004869
155	0.1258662625
156	0.1258511237
157	0.1257995691
158	0.1257370463
159	0.1257137264
160	0.125525711
161	0.1254336624
162	0.1253119843
163	0.125174756
164	0.1251612424
165	0.1251184967
166	0.124976173
167	0.1248882133
168	0.1247509694
169	0.124606294
170	0.1245083788
171	0.1243621361
172	0.1242899367
173	0.1242123059
174	0.1241998112
175	0.1241087047
176	0.1239102068
177	0.123814853
178	0.123742712
179	0.1236203108
180	0.1236001152
181	0.1235125106
182	0.1234478793
183	0.1233664516
184	0.1233004494
185	0.1232135312
186	0.1231391587
187	0.1231026592
188	0.1230210615
189	0.1229697807
190	0.1229566774
191	0.1228571305
192	0.1228416793
193	0.1226970562
194	0.1226166215
195	0.1225311956
196	0.1224407697
197	0.1223844888
198	0.1223745255
199	0.122268394
200	0.1221839374
201	0.1221652274
202	0.1220529159
203	0.1219449875
204	0.1218142187
205	0.1216695967
206	0.1215546849
207	0.121425525
208	0.1213429188
209	0.1212511316
210	0.1211478371
211	0.1210892475
212	0.1210414766
213	0.1210303399
214	0.1209389225
215	0.120840019
216	0.1207175609
217	0.1206483495
218	0.1205695663
219	0.1204835586
220	0.1204131356
221	0.1203114089
222	0.12021118
223	0.1201561968
224	0.1200464534
225	0.1199573391
226	0.1198808846
227	0.1198339335
228	0.1198197207
229	0.1197004738
230	0.119636606
231	0.1195360416
232	0.1194364611
233	0.1193032679
234	0.1192154368
235	0.1191075855
236	0.119086058
237	0.1190440642
238	0.1190067604
239	0.1189270793
240	0.118815347
241	0.1188065975
242	0.1187436994
243	0.1186945359
244	0.1186569027
245	0.1186468637
246	0.1186338963
247	0.1186242917
248	0.1186086935
249	0.1184956804
250	0.1184858673
251	0.1183602076
252	0.1182807064
253	0.1182714158
254	0.1182179664
255	0.1181094306
256	0.1180978592
257	0.1180891674
258	0.1180131325
259	0.1178974629
