iter	Passed	Remaining
0	201	120653
1	464	139008
2	764	152190
3	1029	153465
4	1234	146876
5	1457	144247
6	1689	143100
7	1912	141514
8	2139	140510
9	2361	139328
10	2583	138359
11	2805	137463
12	3054	137915
13	3239	135607
14	3465	135152
15	3695	134902
16	3934	134926
17	4126	133421
18	4325	132283
19	4549	131949
20	4768	131468
21	4998	131317
22	5233	131299
23	5437	130493
24	5687	130802
25	5918	130655
26	6165	130842
27	6364	130020
28	6584	129638
29	6812	129435
30	7074	129850
31	7311	129780
32	7557	129848
33	7782	129561
34	8000	129156
35	8208	128606
36	8444	128487
37	8672	128255
38	8883	127785
39	9087	127220
40	9326	127157
41	9559	126999
42	9755	126369
43	10004	126424
44	10220	126046
45	10443	125771
46	10633	125107
47	10850	124778
48	11081	124609
49	11298	124280
50	11503	123832
51	11708	123390
52	11945	123291
53	12196	123319
54	12415	123022
55	12631	122705
56	12868	122591
57	13110	122518
58	13340	122321
59	13552	121974
60	13754	121537
61	13958	121123
62	14170	120788
63	14400	120602
64	14627	120391
65	14895	120514
66	15144	120475
67	15356	120142
68	15550	119668
69	15753	119279
70	16004	119241
71	16222	118967
72	16480	118974
73	16727	118904
74	17002	119017
75	17214	118686
76	17454	118557
77	17694	118413
78	17953	118400
79	18178	118163
80	18448	118206
81	18677	117989
82	18931	117922
83	19201	117949
84	19419	117660
85	19660	117504
86	19907	117387
87	20108	116997
88	20332	116740
89	20550	116452
90	20795	116318
91	21001	115965
92	21196	115553
93	21430	115362
94	21683	115264
95	21923	115099
96	22135	114785
97	22354	114512
98	22591	114326
99	22825	114126
100	23027	113770
101	23250	113519
102	23467	113237
103	23655	112820
104	23865	112509
105	24078	112215
106	24291	111921
107	24552	111848
108	24800	111717
109	25050	111590
110	25272	111335
111	25493	111078
112	25711	110810
113	25933	110557
114	26158	110320
115	26397	110139
116	26664	110076
117	26864	109736
118	27095	109520
119	27270	109083
120	27500	108864
121	27690	108491
122	27922	108284
123	28130	107986
124	28345	107712
125	28560	107441
126	28788	107220
127	28986	106888
128	29216	106675
129	29423	106376
130	29620	106044
131	29825	105743
132	30017	105400
133	30234	105144
134	30465	104937
135	30707	104767
136	30943	104577
137	31191	104423
138	31436	104261
139	31680	104093
140	31872	103756
141	32135	103649
142	32320	103289
143	32557	103099
144	32794	102907
145	33037	102732
146	33273	102537
147	33446	102148
148	33665	101900
149	33912	101736
150	34151	101548
151	34402	101396
152	34640	101205
153	34856	100949
154	35088	100737
155	35312	100503
156	35489	100138
157	35681	99817
158	35922	99633
159	36137	99379
160	36397	99245
161	36627	99030
162	36837	98760
163	37061	98528
164	37237	98170
165	37454	97924
166	37710	97776
167	37949	97585
168	38177	97362
169	38429	97203
170	38667	97008
171	38930	96872
172	39166	96670
173	39373	96397
174	39552	96056
175	39788	95853
176	40051	95716
177	40250	95424
178	40447	95130
179	40703	94974
180	40973	94851
181	41198	94621
182	41431	94410
183	41660	94189
184	41867	93920
185	42087	93679
186	42315	93455
187	42494	93126
188	42742	92947
189	42935	92649
190	43109	92312
191	43337	92091
192	43515	91765
193	43757	91574
194	43995	91374
195	44215	91138
196	44418	90866
197	44622	90597
198	44797	90270
199	45045	90091
200	45251	89827
201	45455	89561
