Drug Name,gene_name,entrez
lepirudin,F2,2147
cetuximab,EGFR,1956
cetuximab,FCGR3B,2215
cetuximab,C1QA,712
cetuximab,C1QB,713
cetuximab,C1QC,714
cetuximab,FCGR3A,2214
cetuximab,FCGR1A,2209
cetuximab,FCGR2A,2212
denileukin diftitox,IL2RA,3559
denileukin diftitox,IL2RB,3560
denileukin diftitox,IL2RG,3561
etanercept,TNF,7124
etanercept,FCGR1A,2209
etanercept,FCGR2A,2212
etanercept,FCGR2B,2213
etanercept,FCGR2C,9103
etanercept,FCGR3A,2214
etanercept,FCGR3B,2215
etanercept,LTA,4049
etanercept,C1QA,712
bivalirudin,F2,2147
leuprolide,GNRHR,2798
peginterferon alfa-2a,IFNAR2,3455
peginterferon alfa-2a,IFNAR1,3454
alteplase,PLG,5340
alteplase,FGA,2243
alteplase,PLAUR,5329
alteplase,SERPINE1,5054
sermorelin,GHRHR,2692
interferon alfa-n1,IFNAR2,3455
interferon alfa-n1,IFNAR1,3454
darbepoetin alfa,EPOR,2057
urokinase,PLG,5340
urokinase,PLAUR,5329
urokinase,SERPINE1,5054
urokinase,SERPINB2,5055
urokinase,SERPINA5,5104
urokinase,LRP2,4036
urokinase,ST14,6768
urokinase,NID1,4811
goserelin,LHCGR,3973
goserelin,GNRHR,2798
reteplase,PLG,5340
reteplase,FGA,2243
reteplase,SERPINE1,5054
erythropoietin,EPOR,2057
salmon calcitonin,CALCR,799
interferon alfa-n3,IFNAR1,3454
interferon alfa-n3,IFNAR2,3455
pegfilgrastim,CSF3R,1441
sargramostim,CSF2RA,1438
sargramostim,IL3RA,3563
sargramostim,CSF2RB,1439
sargramostim,SDC2,6383
sargramostim,PRG2,5553
peginterferon alfa-2b,IFNAR1,3454
peginterferon alfa-2b,IFNAR2,3455
thyrotropin alfa,TSHR,7253
"antihemophilic factor, human recombinant",F10,2159
"antihemophilic factor, human recombinant",F9,2158
"antihemophilic factor, human recombinant",VWF,7450
"antihemophilic factor, human recombinant",PHYH,5264
"antihemophilic factor, human recombinant",ASGR2,433
"antihemophilic factor, human recombinant",HSPA5,3309
"antihemophilic factor, human recombinant",CALR,811
"antihemophilic factor, human recombinant",CANX,821
"antihemophilic factor, human recombinant",LMAN1,3998
"antihemophilic factor, human recombinant",LRP1,4035
"antihemophilic factor, human recombinant",MCFD2,90411
anakinra,IL1R1,3554
human immunoglobulin g,FCGR1A,2209
human immunoglobulin g,FCGR1B,2210
human immunoglobulin g,FCGR2A,2212
human immunoglobulin g,FCGR2B,2213
human immunoglobulin g,FCGR2C,9103
human immunoglobulin g,FCGR3A,2214
human immunoglobulin g,FCGR3B,2215
human immunoglobulin g,C3,718
human immunoglobulin g,C4A,720
human immunoglobulin g,C4B,721
human immunoglobulin g,C5,727
anistreplase,PLG,5340
anistreplase,FGA,2243
anistreplase,SERPINE1,5054
insulin human,INSR,3643
insulin human,IGF1R,3480
insulin human,RB1,5925
insulin human,CPE,1363
tenecteplase,PLG,5340
tenecteplase,FGA,2243
tenecteplase,PLAUR,5329
tenecteplase,SERPINE1,5054
tenecteplase,SERPINB2,5055
tenecteplase,CLEC3B,7123
tenecteplase,KRT8,3856
tenecteplase,ANXA2,302
tenecteplase,CALR,811
tenecteplase,CANX,821
tenecteplase,LRP1,4035
menotropins,FSHR,2492
menotropins,LHCGR,3973
interferon gamma-1b,IFNGR1,3459
interferon gamma-1b,IFNGR2,3460
"interferon alfa-2a, recombinant",IFNAR1,3454
"interferon alfa-2a, recombinant",IFNAR2,3455
desmopressin,AVPR2,554
desmopressin,AVPR1A,552
desmopressin,AVPR1B,553
coagulation factor viia recombinant human,F10,2159
coagulation factor viia recombinant human,TFPI,7035
coagulation factor viia recombinant human,GGCX,2677
coagulation factor viia recombinant human,F7,2155
coagulation factor viia recombinant human,F3,2152
oprelvekin,IL11RA,3590
palifermin,FGFR2,2263
palifermin,FGFR1,2260
palifermin,HSPG2,3339
glucagon,GCGR,2642
glucagon,GLP2R,9340
glucagon,GLP1R,2740
aldesleukin,IL2RB,3560
aldesleukin,IL2RA,3559
aldesleukin,IL2RG,3561
botulinum toxin type b,VAMP2,6844
botulinum toxin type b,VAMP1,6843
botulinum toxin type b,SYT2,127833
omalizumab,FCER1A,2205
omalizumab,MS4A2,2206
lutropin alfa,LHCGR,3973
lyme disease vaccine (recombinant ospa),TLR2,7097
insulin lispro,INSR,3643
insulin lispro,IGF1R,3480
insulin glargine,INSR,3643
insulin glargine,IGF1R,3480
collagenase clostridium histolyticum,COL1A1,1277
collagenase clostridium histolyticum,COL2A1,1280
collagenase clostridium histolyticum,COL3A1,1281
cetrorelix,GNRHR,2798
cetrorelix,LHCGR,3973
adalimumab,TNF,7124
somatotropin,GHR,2690
somatotropin,PRLR,5618
abciximab,ITGB3,3690
abciximab,ITGA2B,3674
abciximab,FCGR2A,2212
abciximab,FCGR2B,2213
abciximab,VTN,7448
drotrecogin alfa,F8,2157
drotrecogin alfa,F5,2153
drotrecogin alfa,SERPINE1,5054
drotrecogin alfa,THBD,7056
drotrecogin alfa,PROS1,5627
drotrecogin alfa,F2,2147
drotrecogin alfa,PF4,5196
drotrecogin alfa,SERPINA5,5104
drotrecogin alfa,SERPINB6,5269
drotrecogin alfa,PROCR,10544
gemtuzumab ozogamicin,CD33,945
gemtuzumab ozogamicin,FCGR3B,2215
gemtuzumab ozogamicin,FCGR3A,2214
gemtuzumab ozogamicin,FCGR1A,2209
alpha-1-proteinase inhibitor,ELANE,1991
interferon beta-1a,IFNAR1,3454
interferon beta-1a,IFNAR2,3455
pegademase,GRB2,2885
eptifibatide,ITGB3,3690
infliximab,TNF,7124
follitropin,FSHR,2492
vasopressin,AVPR2,554
vasopressin,AVPR1A,552
vasopressin,AVPR1B,553
interferon beta-1b,IFNAR1,3454
interferon beta-1b,IFNAR2,3455
interferon alfacon-1,IFNAR1,3454
interferon alfacon-1,IFNAR2,3455
hyaluronidase (ovine),TGFB1,7040
insulin pork,INSR,3643
insulin pork,IGF1R,3480
insulin pork,IDE,3416
insulin pork,HLA-DQA2,3118
insulin pork,HLA-DQB1,3119
insulin pork,RB1,5925
insulin pork,CTSD,1509
insulin pork,CPE,1363
insulin pork,PCSK2,5126
insulin pork,PCSK1,5122
insulin pork,LRP2,4036
insulin pork,IGFBP7,3490
insulin pork,SYTL4,94121
trastuzumab,ERBB2,2064
rituximab,MS4A1,931
basiliximab,IL2RA,3559
basiliximab,IL2RB,3560
muromonab,CD3D,915
muromonab,CD3E,916
muromonab,CD3G,917
muromonab,CD247,919
muromonab,FCGR3B,2215
ibritumomab tiuxetan,MS4A1,931
tositumomab,MS4A1,931
tositumomab,FCGR2B,2213
pegvisomant,GHR,2690
botulinum toxin type a,SNAP25,6616
botulinum toxin type a,RHOB,388
streptokinase,PLG,5340
streptokinase,F2R,2149
alemtuzumab,CD52,1043
alemtuzumab,FCGR3B,2215
alemtuzumab,FCGR3A,2214
alemtuzumab,FCGR1A,2209
alemtuzumab,FCGR2A,2212
alemtuzumab,FCGR2B,2213
alemtuzumab,FCGR2C,9103
capromab pendetide,FOLH1,2346
cyclosporine,CAMLG,819
cyclosporine,PPP3R2,5535
cyclosporine,PPIA,5478
cyclosporine,PPIF,10105
alefacept,CD2,914
alefacept,FCGR3A,2214
alefacept,FCGR3B,2215
felypressin,AVPR1A,552
urofollitropin,FSHR,2492
efalizumab,ITGAL,3683
efalizumab,ITGAX,3687
choriogonadotropin alfa,LHCGR,3973
choriogonadotropin alfa,FSHR,2492
antithymocyte immunoglobulin (rabbit),CD1A,909
antithymocyte immunoglobulin (rabbit),MR1,3140
antithymocyte immunoglobulin (rabbit),ITGAL,3683
antithymocyte immunoglobulin (rabbit),CD86,942
antithymocyte immunoglobulin (rabbit),FCGR2B,2213
antithymocyte immunoglobulin (rabbit),CD4,920
antithymocyte immunoglobulin (rabbit),ITGB1,3688
antithymocyte immunoglobulin (rabbit),ITGAV,3685
antithymocyte immunoglobulin (rabbit),ITGB3,3690
filgrastim,CSF3R,1441
filgrastim,ELANE,1991
coagulation factor ix (recombinant),F10,2159
coagulation factor ix (recombinant),F11,2160
coagulation factor ix (recombinant),F7,2155
coagulation factor ix (recombinant),F8,2157
coagulation factor ix (recombinant),F2,2147
coagulation factor ix (recombinant),LRP1,4035
coagulation factor ix (recombinant),GGCX,2677
becaplermin,PDGFRB,5159
becaplermin,PDGFRA,5156
becaplermin,A2M,2
interferon alfa-2b,IFNAR2,3455
interferon alfa-2b,IFNAR1,3454
abarelix,GNRHR,2798
oxytocin,OXTR,5021
oxytocin,OXT,5020
natalizumab,ITGA4,3676
natalizumab,FCGR3B,2215
natalizumab,ICAM1,3383
natalizumab,FCGR1A,2209
palivizumab,FCGR3B,2215
palivizumab,C1R,715
palivizumab,C1QA,712
palivizumab,C1QB,713
palivizumab,C1QC,714
palivizumab,FCGR3A,2214
palivizumab,FCGR1A,2209
palivizumab,FCGR2B,2213
daclizumab,IL2RA,3559
daclizumab,IL2RB,3560
daclizumab,FCGR3B,2215
daclizumab,C1R,715
daclizumab,C1QA,712
daclizumab,C1QB,713
daclizumab,C1QC,714
daclizumab,FCGR3A,2214
daclizumab,FCGR1A,2209
daclizumab,FCGR2A,2212
daclizumab,FCGR2B,2213
daclizumab,FCGR2C,9103
bevacizumab,VEGFA,7422
bevacizumab,C1QA,712
bevacizumab,C1QB,713
bevacizumab,C1QC,714
bevacizumab,FCGR3A,2214
bevacizumab,FCGR1A,2209
bevacizumab,FCGR2A,2212
bevacizumab,FCGR2B,2213
bevacizumab,FCGR2C,9103
technetium tc-99m arcitumomab,CEACAM1,634
pyridoxal phosphate,AGXT2,64902
pyridoxal phosphate,GAD1,2571
pyridoxal phosphate,CBS,875
pyridoxal phosphate,KYNU,8942
pyridoxal phosphate,SHMT1,6470
pyridoxal phosphate,NFS1,9054
pyridoxal phosphate,GOT1,2805
pyridoxal phosphate,OAT,4942
pyridoxal phosphate,ODC1,4953
pyridoxal phosphate,AADAT,51166
pyridoxal phosphate,ABAT,18
pyridoxal phosphate,PNPO,55163
pyridoxal phosphate,SGPL1,8879
pyridoxal phosphate,TAT,6898
pyridoxal phosphate,SPTLC2,9517
pyridoxal phosphate,CSAD,51380
pyridoxal phosphate,HDC,3067
pyridoxal phosphate,AZIN2,113451
pyridoxal phosphate,SDS,10993
pyridoxal phosphate,GCAT,23464
pyridoxal phosphate,GLDC,2731
pyridoxal phosphate,GPT,2875
pyridoxal phosphate,PSAT1,29968
pyridoxal phosphate,ALAS1,211
pyridoxal phosphate,AGXT,189
pyridoxal phosphate,PDXP,57026
pyridoxal phosphate,SPTLC1,10558
pyridoxal phosphate,CTH,1491
pyridoxal phosphate,BCAT1,586
pyridoxal phosphate,BCAT2,587
pyridoxal phosphate,GOT2,2806
pyridoxal phosphate,PYGB,5834
pyridoxal phosphate,PYGM,5837
pyridoxal phosphate,DDC,1644
pyridoxal phosphate,ALAS1,211
pyridoxal phosphate,GAD2,2572
pyridoxal phosphate,DDC,1644
pyridoxal phosphate,GADL1,339896
pyridoxal phosphate,SCLY,51540
pyridoxal phosphate,IGSF10,285313
pyridoxal phosphate,PHYKPL,85007
pyridoxal phosphate,GAD1,2571
pyridoxal phosphate,SHMT2,6472
pyridoxal phosphate,ALAS2,212
pyridoxal phosphate,GPT2,84706
pyridoxal phosphate,MOCOS,55034
pyridoxal phosphate,SDSL,113675
pyridoxal phosphate,SRR,63826
pyridoxal phosphate,SEPSECS,51091
pyridoxal phosphate,SPTLC3,55304
cyanocobalamin,MTR,4548
cyanocobalamin,MTRR,4552
cyanocobalamin,MMAA,166785
cyanocobalamin,MMACHC,25974
cyanocobalamin,MTHFR,4524
tetrahydrofolic acid,MTHFD1,4522
tetrahydrofolic acid,MTHFD2,10797
tetrahydrofolic acid,AMT,275
tetrahydrofolic acid,ALDH1L1,10840
tetrahydrofolic acid,MTR,4548
tetrahydrofolic acid,FTCD,10841
tetrahydrofolic acid,ATIC,471
tetrahydrofolic acid,SHMT1,6470
tetrahydrofolic acid,SHMT2,6472
tetrahydrofolic acid,MTHFR,4524
tetrahydrofolic acid,MTFMT,123263
histidine,HDC,3067
histidine,SLC38A3,10991
histidine,HAL,3034
ademetionine,GNMT,27232
ademetionine,AMD1,262
ademetionine,MAT2A,4144
ademetionine,CBS,875
ademetionine,MAT1A,4143
ademetionine,COMT,1312
ademetionine,CMTR1,23070
ademetionine,AS3MT,57412
pyruvic acid,SLC16A3,9123
pyruvic acid,SLC16A2,6567
pyruvic acid,AGXT2,64902
pyruvic acid,SLC16A5,9121
pyruvic acid,PKLR,5313
pyruvic acid,SLC16A6,9120
pyruvic acid,SLC16A7,9194
pyruvic acid,PDHB,5162
pyruvic acid,PKM,5315
pyruvic acid,ABAT,18
pyruvic acid,SLC16A4,9122
pyruvic acid,SLC16A8,23539
pyruvic acid,SLC16A1,6566
pyruvic acid,PC,5091
phenylalanine,TAT,6898
phenylalanine,SLC7A8,23428
phenylalanine,FARSA,2193
phenylalanine,PAH,5053
